audiencescore,boxoffice,title,tomatometer,year,type,Domestic,International,Worldwide
80,,Gully,26,2019,movie,"$22,517",$0,"$22,517"
44,257686,Her Smell,84,2018,movie,"$255,599","$4,882","$260,481"
73,335012133,Aquaman,65,2018,movie,"$335,104,314","$813,424,079","$1,148,528,393"
68,227026000,Justice League,39,2017,movie,"$229,024,295","$428,902,692","$657,926,987"
37,279263,I Do... Until I Don't,28,2017,movie,"$280,668",$0,"$280,668"
26,11287,The Adderall Diaries,23,2015,movie,"$13,191","$2,173","$15,364"
25,,One More Time,53,2015,movie,$0,"$8,317","$8,317"
72,11105793,The Danish Girl,66,2015,movie,"$11,114,018","$53,077,505","$64,191,523"
55,66013057,Magic Mike XXL,65,2015,movie,"$66,013,057","$51,800,000","$117,813,057"
43,30688364,3 Days to Kill,28,2014,movie,"$30,697,999","$22,562,231","$53,260,230"
35,7949147,Machete Kills,29,2013,movie,"$8,008,161","$9,529,025","$17,537,186"
35,7329431,Paranoia,7,2013,movie,"$80,209,692","$37,904,528","$118,114,220"
35,656,Syrup,25,2013,movie,$663,$0,$663
36,13100042,The Rum Diary,51,2011,movie,"$13,109,815","$17,025,143","$30,134,958"
37,10706786,Drive Angry,48,2011,movie,"$10,721,033","$30,188,876","$40,909,909"
26,,The Ward,33,2010,movie,$0,"$5,343,820","$5,343,820"
16,,And Soon the Darkness,14,2010,movie,$0,"$177,182","$177,182"
47,1474508,The Joneses,62,2009,movie,"$1,475,746","$5,568,089","$7,043,835"
34,29062561,The Stepfather,13,2009,movie,"$29,062,561","$2,135,970","$31,198,531"
86,75590286,Zombieland,89,2009,movie,"$75,590,286","$26,801,794","$102,392,080"
18,,The Informers,12,2009,movie,"$300,000","$82,174","$382,174"
73,87341380,Pineapple Express,68,2008,movie,"$87,341,380","$14,283,463","$101,624,843"
34,24848292,Never Back Down,23,2008,movie,"$24,850,922","$16,776,509","$41,627,431"
31,,All the Boys Love Mandy Lane,46,2006,movie,$0,"$1,904,640","$1,904,640"
76,18324242,North Country,69,2005,movie,"$18,337,722","$6,873,453","$25,211,175"
85,61188085,Friday Night Lights,82,2004,movie,"$61,255,921","$694,849","$61,950,770"
24,,The Stand,56,2020,tv,"$12,050,299","$36,280,458","$48,330,757"
25,,The Playboy Club,21,2011,tv,"$45,875,171","$5,650,000","$51,525,171"
76,,Californication,57,2007,tv,$0,$0,$0
0,,Hidden Palms,42,2007,tv,$0,$0,$0
71,,The O.C.,67,2005,tv,"$29,815",$0,"$29,815"
